title,language,imdb_rating,avg_rating_in_language,rating_difference
"Pather Panchali",Bengali,8.3,8.30,0.00000
"The Dark Knight",English,9.0,8.16,0.83810
"Doctor Strange in the Multiverse of Madness",English,7.0,8.16,-1.16190
"Thor: The Dark World ",English,6.8,8.16,-1.36190
"Thor: Ragnarok ",English,7.9,8.16,-0.26190
"Thor: Love and Thunder ",English,6.8,8.16,-1.36190
Gladiator,English,8.5,8.16,0.33810
Titanic,English,7.9,8.16,-0.26190
"It's a Wonderful Life",English,8.6,8.16,0.43810
Avatar,English,7.8,8.16,-0.36190
"The Godfather",English,9.2,8.16,1.03810
"The Shawshank Redemption",English,9.3,8.16,1.13810
Inception,English,8.8,8.16,0.63810
Interstellar,English,8.6,8.16,0.43810
"The Pursuit of Happyness",English,8.0,8.16,-0.16190
"Schindler's List",English,9.0,8.16,0.83810
"Jurassic Park",English,8.2,8.16,0.03810
Parasite,English,8.5,8.16,0.33810
"Avengers: Endgame",English,8.4,8.16,0.23810
"Avengers: Infinity War",English,8.4,8.16,0.23810
"Captain America: The First Avenger",English,6.9,8.16,-1.26190
"Captain America: The Winter Soldier",English,7.8,8.16,-0.36190
"3 Idiots",Hindi,8.4,7.53,0.87500
"Kabhi Khushi Kabhie Gham",Hindi,7.4,7.53,-0.12500
"Bajirao Mastani ",Hindi,7.2,7.53,-0.32500
Shershaah,Hindi,8.4,7.53,0.87500
"Taare Zameen Par",Hindi,8.3,7.53,0.77500
"Munna Bhai M.B.B.S.",Hindi,8.1,7.53,0.57500
PK,Hindi,8.1,7.53,0.57500
Sanju,Hindi,NULL,7.53,NULL
"The Kashmir Files",Hindi,8.3,7.53,0.77500
"Bajrangi Bhaijaan",Hindi,8.1,7.53,0.57500
Sholay,Hindi,8.1,7.53,0.57500
"Dilwale Dulhania Le Jayenge",Hindi,8.0,7.53,0.47500
"Race 3",Hindi,1.9,7.53,-5.62500
"K.G.F: Chapter 2",Kannada,8.4,8.40,0.00000
"Baahubali: The Beginning",Telugu,8.0,7.87,0.13333
"Pushpa: The Rise - Part 1",Telugu,7.6,7.87,-0.26667
RRR,Telugu,8.0,7.87,0.13333
